incident_number,arrest_date,gender,race,age,charge,most_serious,arrest
13BU033775,1/1/2014 19:47,Male,Black,32,Simple Assault,1,TRUE
13BU033777,12/25/2013 1:30,Male,Asian - A,43,Driving Under The Influence - First Offense,1,TRUE
13BU033808,12/25/2013 23:40,Male,White,36,Disorderly Conduct - All Other,1,TRUE
13BU033817,12/26/2013 2:32,Female,White,22,Unlawful Trespass (Felony),1,TRUE
13BU033817,12/26/2013 2:32,Female,White,22,Simple Assault,0,TRUE
13BU033821,12/26/2013 3:29,Male,White,45,Driving Under The Influence - First Offense,1,TRUE
13BU033863,12/26/2013 21:02,Female,White,19,Driving With A Criminally Suspended License,1,TRUE
13BU033865,12/27/2013 0:31,Male,White,28,Driving Under The Influence - First Offense,1,TRUE
13BU033887,12/27/2013 4:14,Male,White,33,Driving Under The Influence - First Offense,1,TRUE
13BU033895,12/27/2013 3:21,Male,Black,32,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
13BU033956,12/27/2013 19:51,NA,NA,NA,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
13BU033959,12/27/2013 20:41,Male,Black,45,Disorderly Conduct - All Other,1,TRUE
13BU033975,12/28/2013 2:18,Female,White,24,Driving Under The Influence - First Offense,1,TRUE
13BU033980,12/28/2013 3:05,NA,NA,NA,Simple Assault,1,TRUE
13BU033995,12/28/2013 11:25,Male,White,52,NA,1,TRUE
13BU034003,12/28/2013 16:05,Male,White,52,Driving With A Criminally Suspended License,1,TRUE
13BU034034,12/28/2013 21:45,Male,White,20,Retail Theft (Misdemeanor),1,TRUE
13BU034034,12/28/2013 22:00,Female,White,20,"Liquor Sale Or Furnishing To Minors, Enabling Consumption By Minors - Misdemeanor",1,TRUE
13BU034034,12/28/2013 22:00,Female,White,20,Retail Theft (Misdemeanor),0,TRUE
13BU034048,12/29/2013 2:53,Female,White,23,Driving Under The Influence - First Offense,1,TRUE
13BU034049,12/29/2013 1:44,Male,White,23,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
13BU034053,12/29/2013 4:19,Male,White,21,Leaving Scene Of An Accident,1,TRUE
13BU034065,12/30/2013 10:00,NA,NA,NA,Larceny From A Person,1,TRUE
13BU034065,12/30/2013 10:00,Male,White,34,Aiding In Commission Of Felony,1,TRUE
13BU034065,12/30/2013 10:00,Male,White,34,Driving With A Criminally Suspended License,0,TRUE
13BU034144,12/30/2013 20:10,Male,White,29,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
13BU034144,12/30/2013 20:10,Male,White,29,Negligent Operation,0,TRUE
13BU034144,12/30/2013 20:10,Female,Unknown - U,25,Retail Theft (Misdemeanor),1,TRUE
13BU034151,12/30/2013 22:15,NA,NA,NA,Violation Of An Abuse Prevention Order,1,TRUE
13BU034180,1/17/2014 6:10,Male,White,19,Operation Without Consent - Aggravated,1,TRUE
13BU034200,12/31/2013 14:59,NA,NA,NA,Retail Theft (Felony),1,TRUE
13BU034201,12/31/2013 17:00,Male,White,22,"Drugs - Marijuana, Possession Or Cultivation 2+ Ounces Or >3 Plants",1,TRUE
13BU034229,1/21/2014 18:09,Female,White,24,Leaving Scene Of An Accident,1,TRUE
13BU034275,1/1/2014 1:10,Female,White,35,Disorderly Conduct - All Other,1,TRUE
14BU000006,1/1/2014 0:32,Male,White,23,Disorderly Conduct - All Other,1,TRUE
14BU000013,1/1/2014 1:34,Male,White,24,Assault With Bodily Fluids (Misdemeanor),1,TRUE
14BU000039,1/1/2014 2:18,Male,Black,21,Disorderly Conduct - All Other,1,TRUE
14BU000055,1/1/2014 5:26,Male,White,41,Fugitive From Justice (Arrest Prior To Requisition),1,TRUE
14BU000056,1/1/2014 8:06,Male,White,37,Driving Under The Influence - First Offense,1,TRUE
14BU000109,1/1/2014 23:48,Female,Black,25,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
14BU000135,1/2/2014 12:07,Male,White,17,Unlawful Mischief (Felony),1,TRUE
14BU000135,1/2/2014 12:07,Male,White,16,Unlawful Mischief (Felony),1,TRUE
14BU000145,1/2/2014 18:41,Male,White,43,Driving Under The Influence - First Offense,1,TRUE
14BU000206,1/22/2014 5:48,Male,Black,30,Conspiracy,1,TRUE
14BU000206,1/22/2014 5:48,Male,Black,30,"Drugs - Cocaine, Sale <2.5 Gm",0,TRUE
14BU000206,1/22/2014 5:48,Male,Black,30,Domestic Assault - 2nd Degree Aggravated,0,TRUE
14BU000206,1/22/2014 5:48,Female,White,28,Conspiracy,1,TRUE
14BU000206,1/22/2014 5:48,Female,White,28,"Drugs - Cocaine, Sale <2.5 Gm",0,TRUE
14BU000283,1/4/2014 15:00,NA,NA,NA,Lewd And Lascivious Conduct,1,TRUE
14BU000283,1/4/2014 15:00,NA,NA,NA,Violation Of An Abuse Prevention Order,0,TRUE
14BU000285,1/4/2014 13:25,Female,White,27,NA,1,TRUE
14BU000290,1/4/2014 15:13,Female,White,37,Retail Theft (Misdemeanor),1,TRUE
14BU000306,1/4/2014 20:39,Female,White,51,Violation Of Conditions Of Release (Other),1,TRUE
14BU000356,1/5/2014 18:18,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
14BU000365,1/5/2014 22:11,Male,White,23,Driving Under The Influence - First Offense,1,TRUE
14BU000367,1/5/2014 21:52,Female,White,58,Violation Of Conditions Of Release (Other),1,TRUE
14BU000368,1/5/2014 19:49,Male,White,36,Unlawful Trespass (Misdemeanor),1,TRUE
14BU000368,1/5/2014 19:49,Male,White,36,Disorderly Conduct - All Other,0,TRUE
14BU000379,1/6/2014 2:57,Male,White,24,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
14BU000388,1/6/2014 2:44,Male,White,29,Fugitive From Justice (Arrest Prior To Requisition),1,TRUE
14BU000405,1/6/2014 10:30,Female,White,52,Driving With A Criminally Suspended License,1,TRUE
14BU000438,1/6/2014 16:45,Female,White,25,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
14BU000438,1/6/2014 16:45,Female,White,25,Simple Assault,NA,TRUE
14BU000441,1/6/2014 17:10,Male,Black,16,Domestic Assault,1,TRUE
14BU000446,1/6/2014 18:22,NA,NA,NA,Retail Theft (Misdemeanor),0,TRUE
14BU000446,1/6/2014 18:22,NA,NA,NA,Unlawful Trespass (Misdemeanor),1,TRUE
14BU000484,1/7/2014 9:55,Male,Black,20,Fugitive From Justice (Arrest Prior To Requisition),1,TRUE
14BU000484,1/7/2014 9:55,Male,Black,20,"Drugs - Heroin, Sale Felony",0,TRUE
14BU000484,1/7/2014 9:55,Male,Black,20,"Drugs - Cocaine, Sale <2.5 Gm",0,TRUE
14BU000484,1/7/2014 9:55,Male,Black,20,False Information To A Police Officer,0,TRUE
14BU000484,1/7/2014 9:55,Female,White,38,Fugitive From Justice (Arrest Prior To Requisition),1,TRUE
14BU000498,1/7/2014 14:10,Male,White,48,Theft Of Services (Misdemeanor),1,TRUE
14BU000523,1/7/2014 17:28,Female,White,28,Driving With A Criminally Suspended License,1,TRUE
14BU000523,1/7/2014 17:28,Female,White,28,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
14BU000543,1/7/2014 22:54,Male,White,27,Driving With A Criminally Suspended License,1,TRUE
14BU000605,1/8/2014 18:01,Male,White,22,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU000615,6/14/2014 15:06,Female,Unknown - U,21,False Pretenses,1,TRUE
14BU000671,1/9/2014 17:29,Female,White,18,False Information To A Police Officer,1,TRUE
14BU000672,1/9/2014 12:49,Male,White,24,Driving With A Criminally Suspended License,1,TRUE
14BU000680,1/11/2014 17:46,Male,Black,26,Simple Assault,1,TRUE
14BU000681,1/9/2014 18:27,Male,White,26,Unlawful Trespass (Misdemeanor),1,TRUE
14BU000681,1/11/2014 16:00,Male,White,19,Unlawful Trespass (Misdemeanor),1,TRUE
14BU000717,1/10/2014 1:28,Male,White,24,Violation Of An Abuse Prevention Order,1,TRUE
14BU000749,1/10/2014 10:45,Male,White,22,Driving With A Criminally Suspended License,1,TRUE
14BU000755,1/10/2014 12:20,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
14BU000755,1/10/2014 12:20,NA,NA,NA,Driving With A Criminally Suspended License,NA,TRUE
14BU000770,1/10/2014 14:20,Female,White,61,Disorderly Conduct - All Other,1,TRUE
14BU000789,1/10/2014 18:20,Female,White,37,Violation Of Conditions Of Release (Other),1,TRUE
14BU000789,1/10/2014 18:20,Female,White,37,Unlawful Trespass (Misdemeanor),0,TRUE
14BU000798,1/10/2014 20:00,Male,White,37,Driving With A Criminally Suspended License,1,TRUE
14BU000798,1/10/2014 20:00,Male,White,37,False Information To A Police Officer,0,TRUE
14BU000823,1/11/2014 0:20,NA,NA,NA,Unlawful Trespass (Misdemeanor),1,TRUE
14BU000823,1/11/2014 0:20,NA,NA,NA,Violation Of Conditions Of Release (Other),0,TRUE
14BU000831,1/11/2014 0:42,Male,White,31,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
14BU000848,1/11/2014 4:01,Male,White,22,"Drugs - LSD, Possession- Misdemeanor",1,TRUE
14BU000865,1/11/2014 13:14,Male,White,48,Unlawful Mischief (Misdemeanor),1,TRUE
14BU000865,1/11/2014 13:14,Male,White,48,Disorderly Conduct - All Other,NA,TRUE
14BU000865,1/11/2014 13:14,Male,White,48,Unlawful Trespass (Misdemeanor),0,TRUE
14BU000865,1/11/2014 13:14,Male,White,48,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
14BU000865,1/11/2014 13:14,Male,White,48,Resisting Arrest,0,TRUE
14BU000881,1/11/2014 17:30,Male,White,32,Violation Of An Abuse Prevention Order,1,TRUE
14BU000882,1/11/2014 15:29,NA,NA,NA,Minors Misrepresenting Age Or Procuring/Possession Liquor 2nd Offense Only,1,TRUE
14BU000925,1/12/2014 3:17,Male,Black,34,Driving Under The Influence - Criminal Refusal,1,TRUE
14BU000925,1/12/2014 3:17,Male,Black,34,Driving With A Criminally Suspended License,0,TRUE
14BU000925,1/12/2014 3:17,Male,Black,34,Violation Of Conditions Of Release (Other),0,TRUE
14BU000925,1/12/2014 3:17,Male,Black,34,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
14BU000925,1/12/2014 3:17,Male,Black,34,Violation Of Conditions Of Release (Other),0,TRUE
14BU000966,1/12/2014 5:15,Male,Black,26,Domestic Assault,1,TRUE
14BU000966,1/12/2014 5:15,Male,Black,26,Unlawful Mischief (Misdemeanor),0,TRUE
14BU000979,1/12/2014 13:00,Male,White,42,Domestic Assault,1,TRUE
14BU001009,1/12/2014 20:00,Female,White,51,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001009,1/12/2014 20:00,Male,White,48,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001027,1/12/2014 22:53,NA,NA,NA,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001027,1/12/2014 22:53,Female,White,51,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001037,1/13/2014 0:42,Male,Asian - A,30,Driving Under The Influence - First Offense,1,TRUE
14BU001042,1/13/2014 2:17,Male,White,33,Driving Under The Influence - Criminal Refusal,1,TRUE
14BU001047,1/13/2014 3:03,Female,White,20,Driving With A Criminally Suspended License,1,TRUE
14BU001047,1/13/2014 3:03,Female,White,20,False Information To A Police Officer,0,TRUE
14BU001057,1/13/2014 9:48,Male,Asian - A,24,Unlawful Restraint - 2nd Degree,1,TRUE
14BU001057,1/13/2014 9:48,Male,Asian - A,24,Lewd And Lascivious Conduct With A Child,0,TRUE
14BU001062,1/13/2014 11:00,Male,Black,46,Simple Assault,1,TRUE
14BU001091,1/13/2014 14:46,Male,White,19,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001130,1/13/2014 21:20,Male,White,27,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",1,TRUE
14BU001132,1/13/2014 21:32,Male,White,48,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
14BU001132,1/13/2014 21:32,Male,White,48,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
14BU001132,1/13/2014 21:32,Male,White,48,Unlawful Trespass (Misdemeanor),0,TRUE
14BU001137,1/14/2014 0:26,Female,White,29,NA,1,TRUE
14BU001155,1/14/2014 10:08,Male,White,55,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU001155,1/14/2014 10:08,Male,White,55,Petit Larceny From A Building/Residence/Structure,0,TRUE
14BU001202,1/14/2014 13:07,Female,White,30,Unlawful Trespass (Misdemeanor),1,TRUE
14BU001219,1/14/2014 16:04,Male,White,49,Retail Theft (Misdemeanor),1,TRUE
14BU001219,1/14/2014 16:04,Male,White,49,Unlawful Trespass (Misdemeanor),0,TRUE
14BU001220,1/14/2014 15:58,Female,White,50,Grand Larceny,1,TRUE
14BU001256,1/15/2014 1:29,Male,White,36,NA,1,TRUE
14BU001279,1/15/2014 11:57,Female,White,27,NA,1,TRUE
14BU001304,1/15/2014 15:01,Male,White,33,Driving With A Criminally Suspended License,1,TRUE
14BU001304,1/15/2014 15:01,Male,White,33,Violation Of Conditions Of Release (Other),1,TRUE
14BU001328,1/15/2014 20:02,Male,White,43,NA,1,TRUE
14BU001329,1/28/2014 19:30,Male,White,55,Disorderly Conduct - All Other,1,TRUE
14BU001329,1/28/2014 19:30,Male,White,55,Disorderly Conduct - All Other,NA,TRUE
14BU001393,1/16/2014 14:41,Male,Black,15,Burglary,1,TRUE
14BU001393,1/16/2014 14:41,Male,Black,16,Burglary,1,TRUE
14BU001393,1/16/2014 14:41,Male,Black,16,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),0,TRUE
14BU001413,1/16/2014 20:57,Male,White,35,NA,1,TRUE
14BU001552,1/24/2014 18:30,Male,Black,14,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
14BU001557,1/18/2014 2:15,Male,White,23,Disorderly Conduct - All Other,1,TRUE
14BU001557,1/18/2014 2:15,Male,White,28,Disorderly Conduct - All Other,1,TRUE
14BU001610,1/18/2014 15:52,NA,NA,NA,Driving With A Criminally Suspended License,1,TRUE
14BU001618,1/18/2014 17:52,Male,White,30,Driving With A Criminally Suspended License,1,TRUE
14BU001649,1/18/2014 22:35,Male,White,40,Disorderly Conduct - All Other,1,TRUE
14BU001705,1/19/2014 1:38,Male,White,26,Disorderly Conduct - All Other,1,TRUE
14BU001710,1/19/2014 2:49,Female,White,29,Driving Under The Influence - First Offense,1,TRUE
14BU001765,1/19/2014 18:56,Female,White,53,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
14BU001772,1/19/2014 20:16,NA,NA,NA,Operation Without Consent,1,TRUE
14BU001804,1/20/2014 5:26,NA,NA,NA,Burglary,1,TRUE
14BU001804,2/17/2014 14:12,Male,White,19,Burglary,1,TRUE
14BU001844,1/20/2014 17:30,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
14BU001844,1/25/2014 9:51,NA,NA,NA,Driving With A Criminally Suspended License,1,TRUE
14BU001844,1/25/2014 9:51,NA,NA,NA,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",0,TRUE
14BU001929,1/21/2014 22:52,Male,White,29,Operation Without Consent,1,TRUE
14BU001932,1/21/2014 23:54,Male,White,41,Domestic Assault,1,TRUE
14BU001940,2/3/2014 18:38,NA,NA,NA,Burglary,1,TRUE
14BU001940,2/4/2014 9:00,Male,White,19,Burglary,1,TRUE
14BU001940,3/8/2014 11:45,Male,White,19,Burglary,1,TRUE
14BU001945,1/22/2014 8:52,Male,White,32,False Pretenses,1,TRUE
14BU001949,1/22/2014 12:22,Male,White,57,Disorderly Conduct - All Other,1,TRUE
14BU001954,1/22/2014 13:58,Male,White,11,Simple Assault,1,TRUE
14BU001988,1/23/2014 1:41,Female,Unknown - U,25,Driving Under The Influence - First Offense,1,TRUE
14BU002016,4/23/2014 8:30,NA,NA,NA,False Information To A Police Officer,1,TRUE
14BU002017,1/23/2014 12:12,NA,NA,NA,NA,1,TRUE
14BU002033,2/4/2014 14:55,Male,White,55,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU002033,2/4/2014 14:55,Male,White,55,Petit Larceny From A Building/Residence/Structure,0,TRUE
14BU002053,1/23/2014 19:13,Male,White,19,Unlawful Trespass (Misdemeanor),1,TRUE
14BU002084,1/24/2014 2:20,Female,White,26,Driving With A Criminally Suspended License,1,TRUE
14BU002113,1/24/2014 13:47,Male,White,21,Cruelty To Animals (Misdemeanor),1,TRUE
14BU002115,1/24/2014 15:19,Female,White,29,Stolen Property Receiving (Possession Of) Stolen Property (Felony),1,TRUE
14BU002172,1/25/2014 2:38,Female,White,18,Driving Under The Influence - First Offense,1,TRUE
14BU002175,1/25/2014 0:57,Male,Unknown - U,40,Disorderly Conduct - All Other,1,TRUE
14BU002189,1/25/2014 2:30,Male,White,27,Disorderly Conduct - All Other,1,TRUE
14BU002189,1/25/2014 2:30,Male,White,27,Resisting Arrest,0,TRUE
14BU002193,1/25/2014 4:53,Female,White,26,Driving Under The Influence - First Offense,1,TRUE
14BU002208,1/25/2014 14:00,Male,White,19,Unlawful Trespass (Misdemeanor),1,TRUE
14BU002208,1/25/2014 14:00,Male,White,19,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU002216,1/25/2014 11:45,Male,White,22,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
14BU002216,1/25/2014 11:45,Male,White,22,Resisting Arrest,0,TRUE
14BU002217,1/25/2014 14:00,Male,White,41,Domestic Assault,1,TRUE
14BU002226,1/25/2014 15:35,Female,White,43,Burglary,1,TRUE
14BU002226,1/25/2014 15:35,Female,White,43,Burglary,0,TRUE
14BU002237,1/25/2014 17:55,NA,NA,NA,Violation Of Conditions Of Release (Other),1,TRUE
14BU002252,1/25/2014 21:47,Male,Unknown - U,21,Unlawful Trespass (Misdemeanor),1,TRUE
14BU002269,1/26/2014 0:01,Female,White,21,Simple Assault,1,TRUE
14BU002269,1/26/2014 0:01,Female,White,21,Disorderly Conduct - All Other,0,TRUE
14BU002271,1/26/2014 3:01,Male,White,19,Driving Under The Influence - First Offense,1,TRUE
14BU002274,1/26/2014 1:15,Female,White,46,Driving Under The Influence - First Offense,1,TRUE
14BU002314,1/26/2014 17:00,NA,NA,NA,Assault And Robbery,1,TRUE
14BU002320,1/26/2014 21:23,NA,NA,NA,Disorderly Conduct - All Other,1,TRUE
14BU002362,4/3/2014 8:30,Female,White,26,Failure To Return A Rented Or Leased Motor Vehicle,1,TRUE
14BU002420,1/27/2014 18:37,Male,White,55,Violation Of Conditions Of Release (Other),1,TRUE
14BU002424,1/27/2014 19:53,Male,White,47,Retail Theft (Misdemeanor),1,TRUE
14BU002429,1/27/2014 21:36,Male,White,52,Unlawful Trespass (Misdemeanor),1,TRUE
14BU002437,1/28/2014 0:03,Male,White,25,Driving Under The Influence - First Offense,1,TRUE
14BU002457,2/25/2014 10:00,Male,White,14,Sexual Offense Aggravated Sexual Assault Of A Child,1,TRUE
14BU002458,1/28/2014 10:02,Male,White,45,Driving With A Criminally Suspended License,1,TRUE
14BU002554,1/29/2014 2:24,Male,White,47,Domestic Assault,1,TRUE
14BU002558,1/29/2014 5:28,Male,White,43,Domestic Assault,1,TRUE
14BU002558,1/29/2014 5:28,Male,White,43,NA,0,TRUE
14BU002569,1/29/2014 9:25,Male,Black,15,Petit Larceny From A Building/Residence/Structure,1,TRUE
14BU002569,1/29/2014 9:25,Male,Asian - A,14,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU002618,1/30/2014 1:14,NA,NA,NA,False Information To A Police Officer,1,TRUE
14BU002647,1/30/2014 9:32,Female,White,34,False Information To A Police Officer,1,TRUE
14BU002738,1/31/2014 2:29,Female,White,22,Driving Under The Influence - First Offense,1,TRUE
14BU002756,1/31/2014 11:15,Male,White,37,Simple Assault,1,TRUE
14BU002763,1/31/2014 14:12,NA,NA,NA,Simple Assault,1,TRUE
14BU002763,1/31/2014 13:45,Female,White,31,Disorderly Conduct - All Other,1,TRUE
14BU002763,1/31/2014 13:45,Male,White,30,Disorderly Conduct - All Other,1,TRUE
14BU002807,1/31/2014 20:11,Male,White,34,Driving With A Criminally Suspended License,1,TRUE
14BU002832,2/1/2014 1:05,Male,White,22,Simple Assault,1,TRUE
14BU002897,2/1/2014 17:54,NA,NA,NA,Domestic Assault,1,TRUE
14BU002950,2/2/2014 2:11,NA,NA,NA,Driving Under The Influence - First Offense,1,TRUE
14BU003022,2/2/2014 23:55,Male,White,29,Driving Under The Influence - First Offense,1,TRUE
14BU003024,2/3/2014 0:41,Male,White,27,Driving With A Criminally Suspended License,1,TRUE
14BU003036,2/3/2014 8:41,NA,NA,NA,Unlawful Mischief (Misdemeanor),1,TRUE
14BU003053,2/3/2014 11:37,Male,White,21,Unlawful Trespass (Misdemeanor),1,TRUE
14BU003081,2/3/2014 15:40,Male,White,50,Domestic Assault,1,TRUE
14BU003088,4/17/2014 10:00,Male,White,24,Embezzlement,1,TRUE
14BU003123,2/4/2014 3:21,Male,White,47,Violation Of Conditions Of Release (Other),1,TRUE
14BU003129,2/4/2014 7:16,Male,White,46,Violation Of An Abuse Prevention Order,1,TRUE
14BU003137,2/4/2014 9:06,Male,Black,17,Disorderly Conduct - All Other,1,TRUE
14BU003145,2/22/2014 10:26,Male,White,22,Petit Larceny From A Building/Residence/Structure,1,TRUE
14BU003145,2/22/2014 10:26,Male,White,22,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),0,TRUE
14BU003145,2/22/2014 10:26,Male,White,32,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU003154,2/4/2014 13:15,Male,White,40,Violation Of Conditions Of Release (Other),1,TRUE
14BU003154,2/4/2014 13:15,Male,White,40,Disorderly Conduct - All Other,0,TRUE
14BU003172,2/4/2014 15:55,Male,White,26,"Drugs - Cocaine, Sale <2.5 Gm",1,TRUE
14BU003172,2/4/2014 15:55,Male,White,26,"Drugs - Heroin, Sale 200+ Milligrams",NA,TRUE
14BU003185,2/4/2014 18:50,Male,Black,48,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
14BU003196,2/4/2014 21:10,Male,White,45,Domestic Assault - 1st Degree Aggravated,1,TRUE
14BU003199,2/4/2014 23:10,Male,White,45,Driving With A Criminally Suspended License,1,TRUE
14BU003200,2/4/2014 22:28,Female,White,35,Theft Of Services (Misdemeanor),1,TRUE
14BU003208,2/5/2014 1:07,Male,White,26,Driving Under The Influence - First Offense,1,TRUE
14BU003237,5/4/2014 9:39,Male,White,38,Leaving Scene Of An Accident,1,TRUE
14BU003243,2/5/2014 13:17,Female,Black,16,Simple Assault,1,TRUE
14BU003250,2/5/2014 14:12,Male,White,17,Domestic Assault,1,TRUE
14BU003253,2/5/2014 13:22,Male,White,17,Petit Larceny From A Building/Residence/Structure,1,TRUE
14BU003266,2/5/2014 17:15,NA,NA,NA,Larceny From A Person,1,TRUE
14BU003269,2/5/2014 19:50,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
14BU003283,2/5/2014 20:55,Female,White,38,Unlawful Trespass (Misdemeanor),1,TRUE
14BU003283,2/5/2014 20:55,Female,White,38,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",0,TRUE
14BU003283,2/5/2014 20:55,Female,White,38,"Drugs - Improper possession, use or sale of glues and hazardous inhalants",0,TRUE
14BU003287,2/6/2014 4:50,NA,NA,NA,Driving Under The Influence - Drugs,1,TRUE
14BU003288,2/5/2014 22:45,Male,White,47,Violation Of Conditions Of Release (Other),1,TRUE
14BU003296,2/6/2014 0:20,Female,Asian - A,34,Driving Under The Influence - First Offense,1,TRUE
14BU003318,2/6/2014 18:55,Male,White,32,Unlawful Trespass (Felony),1,TRUE
14BU003318,2/6/2014 18:55,Male,White,32,Unlawful Trespass (Misdemeanor),0,TRUE
14BU003324,2/6/2014 11:45,Female,White,29,Retail Theft (Misdemeanor),1,TRUE
14BU003340,2/6/2014 16:21,Female,White,31,Retail Theft (Felony),0,TRUE
14BU003340,2/6/2014 16:21,Female,White,31,Simple Assault,1,TRUE
14BU003359,2/6/2014 20:42,Male,White,52,NA,1,TRUE
14BU003367,2/6/2014 23:53,Male,White,41,Driving Under The Influence - First Offense,1,TRUE
14BU003367,2/6/2014 22:53,Female,White,30,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
14BU003367,2/6/2014 22:53,Female,White,30,Resisting Arrest,0,TRUE
14BU003367,2/6/2014 22:53,Female,White,30,Disorderly Conduct - All Other,0,TRUE
14BU003383,2/7/2014 4:12,Male,Black,33,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
14BU003390,2/7/2014 3:28,Male,White,30,Driving Under The Influence - First Offense,1,TRUE
14BU003398,2/7/2014 10:27,Male,Black,33,"Drugs - Cocaine, Sale <2.5 Gm",1,TRUE
14BU003399,3/11/2014 16:25,Male,Black,21,"Drugs - Cocaine, Sale <2.5 Gm",1,TRUE
14BU003399,3/11/2014 16:25,Male,Black,21,"Drugs - Cocaine, Possession  >2.5 Gm",0,TRUE
14BU003403,2/7/2014 13:53,Male,Black,17,Disorderly Conduct By Phone Or Electronic Communication,1,TRUE
14BU003419,2/9/2014 12:15,NA,NA,NA,"Drugs - Heroin, Possession 2+ Grams",1,TRUE
14BU003419,2/7/2014 15:45,Male,White,28,"Drugs - Heroin, Possession (Misdemeanor)",1,TRUE
14BU003420,2/17/2014 19:32,NA,NA,NA,Stolen Property Receiving (Possession Of) Stolen Property (Felony),1,TRUE
14BU003487,2/8/2014 0:54,Male,White,36,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
14BU003502,2/8/2014 4:57,Male,White,23,Driving Under The Influence - First Offense,1,TRUE
14BU003505,2/8/2014 2:52,Male,White,21,Driving Under The Influence - First Offense,1,TRUE
14BU003510,3/11/2014 17:30,Male,Asian - A,39,Violation Of Conditions Of Release (Other),1,TRUE
14BU003535,2/8/2014 16:50,NA,NA,NA,Domestic Assault,1,TRUE
14BU003575,2/9/2014 0:42,Male,White,28,Burglary,1,TRUE
14BU003593,2/9/2014 4:52,NA,NA,NA,Interference With Access To Emergency Services,0,TRUE
14BU003593,2/9/2014 4:52,NA,NA,NA,Assault And Robbery,1,TRUE
14BU003593,2/9/2014 4:52,NA,NA,NA,Domestic Assault - 2nd Degree Aggravated,0,TRUE
14BU003594,2/9/2014 6:56,Female,White,49,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
14BU003594,2/9/2014 6:56,Female,White,49,Violation Of Conditions Of Release (Other),0,TRUE
14BU003594,2/9/2014 6:56,Female,White,49,Driving With A Criminally Suspended License,0,TRUE
14BU003595,2/9/2014 2:41,Male,Black,31,Simple Assault,1,TRUE
14BU003642,2/10/2014 0:00,Male,Black,43,Domestic Assault - 1st Degree Aggravated,1,TRUE
14BU003646,2/10/2014 1:50,Male,Black,38,Domestic Assault,1,TRUE
14BU003668,2/10/2014 11:43,Male,White,20,NA,1,TRUE
14BU003699,2/10/2014 20:07,Female,White,43,NA,1,TRUE
14BU003702,2/10/2014 18:23,Male,Black,30,Retail Theft (Misdemeanor),1,TRUE
14BU003706,2/10/2014 19:24,Male,White,16,Unlawful Mischief (Misdemeanor),1,TRUE
